"","condition","condition_order.c","z.trial_num","sex.c","z.age","z.training_experience","fitted","lower.cl","upper.cl"
"1","non",1.96705251293799e-17,0,-7.05466748410447e-17,-1.4514972531011e-16,1.18160909980888e-16,0.549883081227243,0.51130007362366,0.587464923672904
"2","ost",1.96705251293799e-17,0,-7.05466748410447e-17,-1.4514972531011e-16,1.18160909980888e-16,0.615273642914612,0.578351354973833,0.652771241584953
