"","subject_ID","condition","trial_num","treat_location","chosen_side_reli","response_orig","response_reli"
"108","messerli_md1_047","non",8,"R","L",0,0
"109","messerli_md1_047","ost",1,"L","L",1,1
"110","messerli_md1_047","ost",2,"R","R",1,1
"111","messerli_md1_047","ost",3,"R","R",1,1
"112","messerli_md1_047","ost",4,"L","L",1,1
"113","messerli_md1_047","ost",5,"R","R",1,1
"114","messerli_md1_047","ost",6,"L","L",1,1
"115","messerli_md1_047","ost",7,"R","R",1,1
"116","messerli_md1_047","ost",8,"L","R",0,0
"117","messerli_md1_047","odour",1,"R","R",1,1
"118","messerli_md1_047","odour",2,"L","R",0,0
"119","messerli_md1_047","odour",3,"L","R",0,0
"120","messerli_md1_047","odour",4,"R","R",1,1
"121","messerli_md1_081","non",1,"R","L",0,0
"122","messerli_md1_081","non",2,"L","L",1,1
"123","messerli_md1_081","non",3,"R","L",0,0
"124","messerli_md1_081","non",4,"L","L",1,1
"125","messerli_md1_081","non",5,"L","L",1,1
"126","messerli_md1_081","non",6,"R","L",0,0
"127","messerli_md1_081","non",7,"L","L",1,1
"128","messerli_md1_081","non",8,"R","L",0,0
"129","messerli_md1_081","ost",1,"L","L",1,1
"130","messerli_md1_081","ost",2,"R","L",0,0
"131","messerli_md1_081","ost",3,"R","L",0,0
"132","messerli_md1_081","ost",4,"L","L",1,1
"133","messerli_md1_081","ost",5,"R","L",0,0
"134","messerli_md1_081","ost",6,"L","L",1,1
"135","messerli_md1_081","ost",7,"R","L",0,0
"136","messerli_md1_081","ost",8,"L","R",0,0
"137","messerli_md1_081","odour",1,"R","L",0,0
"138","messerli_md1_081","odour",2,"L","L",1,1
"139","messerli_md1_081","odour",3,"L","L",1,1
"140","messerli_md1_081","odour",4,"R","L",0,0
"141","messerli_md1_089","ost",1,"L","R",0,0
"142","messerli_md1_089","ost",2,"R","R",1,1
"143","messerli_md1_089","ost",3,"L","R",0,0
"144","messerli_md1_089","ost",4,"R","R",1,1
"145","messerli_md1_089","ost",5,"L","R",0,0
"146","messerli_md1_089","ost",6,"L","R",0,0
"147","messerli_md1_089","ost",7,"R","R",1,1
"148","messerli_md1_089","ost",8,"R","R",1,1
"149","messerli_md1_089","non",1,"R","L",0,0
"150","messerli_md1_089","non",2,"L","L",1,1
"151","messerli_md1_089","non",3,"L","L",1,1
"152","messerli_md1_089","non",4,"R","R",1,1
"153","messerli_md1_089","non",5,"L","L",1,1
"154","messerli_md1_089","non",6,"R","R",1,1
"155","messerli_md1_089","non",7,"R","R",1,1
"156","messerli_md1_089","non",8,"L","R",0,0
"157","messerli_md1_089","odour",1,"R","R",1,1
"158","messerli_md1_089","odour",2,"L","R",0,0
"159","messerli_md1_089","odour",3,"L","R",0,0
"160","messerli_md1_089","odour",4,"R","R",1,1
"161","messerli_md1_068","non",1,"R","R",1,1
"162","messerli_md1_068","non",2,"L","L",1,1
"163","messerli_md1_068","non",3,"R","R",1,1
"164","messerli_md1_068","non",4,"L","L",1,1
"165","messerli_md1_068","non",5,"L","R",0,0
"166","messerli_md1_068","non",6,"R","R",1,1
"167","messerli_md1_068","non",7,"L","L",1,1
"168","messerli_md1_068","non",8,"R","L",0,0
"169","messerli_md1_068","ost",1,"L","L",1,1
"170","messerli_md1_068","ost",2,"R","L",0,0
"171","messerli_md1_068","ost",3,"R","R",1,1
"172","messerli_md1_068","ost",4,"L","L",1,1
"173","messerli_md1_068","ost",5,"R","L",0,0
"174","messerli_md1_068","ost",6,"L","L",1,1
"175","messerli_md1_068","ost",7,"R","L",0,0
"176","messerli_md1_068","ost",8,"L","L",1,1
"177","messerli_md1_068","odour",1,"R","R",1,1
"178","messerli_md1_068","odour",2,"L","L",1,1
"179","messerli_md1_068","odour",3,"L","R",0,0
"180","messerli_md1_068","odour",4,"R","L",0,0
"181","messerli_md1_038","ost",1,"L","R",0,0
"182","messerli_md1_038","ost",2,"R","R",1,1
"183","messerli_md1_038","ost",3,"L","L",1,1
"184","messerli_md1_038","ost",4,"R","R",1,1
"185","messerli_md1_038","ost",5,"L","L",1,1
"186","messerli_md1_038","ost",6,"L","L",1,1
"187","messerli_md1_038","ost",7,"R","L",0,0
"188","messerli_md1_038","ost",8,"R","R",1,1
"189","messerli_md1_038","non",1,"R","L",0,0
"190","messerli_md1_038","non",2,"L","R",0,0
"191","messerli_md1_038","non",3,"L","L",1,1
"192","messerli_md1_038","non",4,"R","R",1,1
"193","messerli_md1_038","non",5,"L","R",0,0
"194","messerli_md1_038","non",6,"R","R",1,1
"195","messerli_md1_038","non",7,"R","R",1,1
"196","messerli_md1_038","non",8,"L","L",1,1
"197","messerli_md1_038","odour",1,"R","L",0,0
"198","messerli_md1_038","odour",2,"L","R",0,0
"199","messerli_md1_038","odour",3,"L","L",1,1
"200","messerli_md1_038","odour",4,"R","R",1,1
"201","messerli_md1_065","ost",1,"R","R",1,1
"202","messerli_md1_065","ost",2,"L","L",1,1
"203","messerli_md1_065","ost",3,"L","L",1,1
"204","messerli_md1_065","ost",4,"R","R",1,1
"205","messerli_md1_065","ost",5,"L","R",0,0
"206","messerli_md1_065","ost",6,"R","R",1,1
"207","messerli_md1_065","ost",7,"R","R",1,1
"208","messerli_md1_065","ost",8,"L","L",1,1
"209","messerli_md1_065","non",1,"L","R",0,0
"210","messerli_md1_065","non",2,"R","R",1,1
"211","messerli_md1_065","non",3,"R","R",1,1
"212","messerli_md1_065","non",4,"L","L",1,1
"213","messerli_md1_065","non",5,"R","R",1,1
"214","messerli_md1_065","non",6,"L","R",0,0
"215","messerli_md1_065","non",7,"R","R",1,1
"216","messerli_md1_065","non",8,"L","L",1,1
"217","messerli_md1_065","odour",1,"R","L",0,0
"218","messerli_md1_065","odour",2,"L","R",0,0
"219","messerli_md1_065","odour",3,"L","R",0,0
"220","messerli_md1_065","odour",4,"R","L",0,0
"221","messerli_md1_074","non",1,"R","R",1,1
"222","messerli_md1_074","non",2,"L","L",1,1
"223","messerli_md1_074","non",3,"R","L",0,0
"224","messerli_md1_074","non",4,"L","L",1,1
"225","messerli_md1_074","non",5,"L","L",1,1
"226","messerli_md1_074","non",6,"R","L",0,0
"227","messerli_md1_074","non",7,"L","L",1,1
"228","messerli_md1_074","non",8,"R","L",0,0
"229","messerli_md1_074","ost",1,"L","L",1,1
"230","messerli_md1_074","ost",2,"R","R",1,1
"231","messerli_md1_074","ost",3,"R","R",1,1
"232","messerli_md1_074","ost",4,"L","R",0,0
"233","messerli_md1_074","ost",5,"R","R",1,1
"234","messerli_md1_074","ost",6,"L","L",1,1
"235","messerli_md1_074","ost",7,"R","R",1,1
"236","messerli_md1_074","ost",8,"L","R",0,0
"237","messerli_md1_074","odour",1,"R","R",1,1
"238","messerli_md1_074","odour",2,"L","R",0,0
"239","messerli_md1_074","odour",3,"L","L",1,1
"240","messerli_md1_074","odour",4,"R","L",0,0
"241","messerli_md1_067","non",1,"L","L",1,1
"242","messerli_md1_067","non",2,"R","L",0,0
"243","messerli_md1_067","non",3,"L","L",1,1
"244","messerli_md1_067","non",4,"R","L",0,0
"245","messerli_md1_067","non",5,"L","R",0,0
"246","messerli_md1_067","non",6,"L","L",1,1
"247","messerli_md1_067","non",7,"R","R",1,1
"248","messerli_md1_067","non",8,"R","L",0,0
"249","messerli_md1_067","ost",1,"R","R",1,1
"250","messerli_md1_067","ost",2,"L","L",1,1
"251","messerli_md1_067","ost",3,"R","L",0,0
