"","condition","condition_order.c","z.trial_num","sex.c","z.age","z.training_experience","fitted","lower.cl","upper.cl"
"1","non",1.01787032809672e-16,0,-2.8778735872768e-17,8.54412409377068e-17,-1.20785343070429e-16,0.528880623065988,0.484969297267038,0.57281833954053
"2","ost",1.01787032809672e-16,0,-2.8778735872768e-17,8.54412409377068e-17,-1.20785343070429e-16,0.601923519887894,0.559375216996405,0.648488883468293
