tree.name,data.name
Australian Shepherd,Australian_Shepherd
Border Collie,Border_Collie
Golden Retriever,Golden_Retriever
Jack Russell Terrier,JP_Russell_Terrier
Labrador Retriever,Labrador_Retriever
Rhodesian Ridgeback,Rhodesian_Ridgeback
Samoyed,Samoyed
Siberian Husky,Siberian_Husky
German Shepherd,White Swiss Shepherd Dog
