effect,bf
(Intercept),NA
Condition,4.5874077223911165
Order of condition,0.6694503462601857
Trial number,4972.920489772495
Sex,0.8773410050914126
Age,0.35656035102906014
C-BARQ trainability score,0.42414226356063306
