effect,bf
(Intercept),NA
Condition,3.88440201054664
Order of condition,0.3802126701007922
Trial number,0.5145745933049413
Sex,0.433075003269555
Age,0.17940956529622787
C-BARQ trainability score,0.45029252202641834
